item_no,dimension,question,mean,sd,median,min,max,positive_rate,neutral_rate,low_rate
1,算法透明性,我能理解该系统使用了哪些气象数据、预测通道和模型结果。,4.29,1.11,5.00,2,5,85.7%,0.0%,14.3%
2,算法透明性,系统对 CH09、CH10、CH12、CH13 不同通道风险差异的说明是清楚的。,4.43,1.13,5.00,2,5,85.7%,0.0%,14.3%
3,算法透明性,相比只展示预测图，模型指标、误差图和风险说明让我更容易理解模型局限。,4.14,1.07,4.00,2,5,85.7%,0.0%,14.3%
4,算法透明性,“黑盒治理”模块帮助我理解深度学习模型为什么不能被直接当作确定结论。,4.29,1.11,5.00,2,5,85.7%,0.0%,14.3%
5,风险识别与安全意识,系统让我意识到低亮温冷云顶、云边界等区域可能存在更高预测误差。,3.71,1.38,4.00,1,5,71.4%,14.3%,14.3%
6,风险识别与安全意识,系统清楚说明了错误预测可能对防灾减灾、预警研判和人身安全产生影响。,3.86,1.35,4.00,1,5,85.7%,0.0%,14.3%
7,风险识别与安全意识,在 CH13、180 K、预警研判场景下，我能理解为什么系统给出高风险或极高风险判断。,4.29,1.50,5.00,1,5,85.7%,0.0%,14.3%
8,风险识别与安全意识,系统提供的风险等级有助于我判断哪些结果需要谨慎使用。,4.00,1.41,4.00,1,5,85.7%,0.0%,14.3%
9,人工监督与责任边界,我认同高风险模型输出必须经过人工复核。,4.57,0.53,5.00,4,5,100.0%,0.0%,0.0%
10,人工监督与责任边界,我认同该系统不能单独用于自动发布灾害预警。,4.43,0.53,4.00,4,5,100.0%,0.0%,0.0%
11,人工监督与责任边界,系统对“辅助分析”和“自动决策”的边界说明是清楚的。,4.57,0.79,5.00,3,5,85.7%,14.3%,0.0%
12,人工监督与责任边界,系统的治理动作，如多源资料核验、复核记录、禁止自动预警，是必要的。,4.00,1.41,4.00,1,5,85.7%,0.0%,14.3%
13,信任校准与使用意愿,该系统增强了我对气象AI预测结果的合理信任。,4.29,0.76,4.00,3,5,85.7%,14.3%,0.0%
14,信任校准与使用意愿,该系统没有让我盲目信任模型，而是帮助我形成更谨慎的判断。,4.43,0.79,5.00,3,5,85.7%,14.3%,0.0%
15,信任校准与使用意愿,如果用于课程实验或科研展示，我认为该系统比单纯展示模型预测结果更完整。,3.86,1.35,4.00,1,5,85.7%,0.0%,14.3%
16,信任校准与使用意愿,我愿意把该系统作为气象AI预测结果的辅助解释工具。,4.43,0.79,5.00,3,5,85.7%,14.3%,0.0%
